date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:34:34	6402/6402	---M-Z	200	added ('OK')	text/html	etag:%221902-6083abd3-36dc044ccd94bde4;gz%22	https://helperscript.com/dream11v2/matchlist/dream11-match-prediction-cricket.html	C:/wamp64/www/Hackothon/assets/templates/p/helperscript.com/dream11v2/matchlist/dream11-match-prediction-cricket.html	(from )
11:34:35	67/67	---M--	200	added ('OK')	text/plain	etag:%2219612-1618868213;;;%22	https://helperscript.com/robots.txt		(from )
11:34:36	144877/144877	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:04%20GMT	https://maxcdn.bootstrapcdn.com/bootstrap/4.0.0/css/bootstrap.min.css	C:/wamp64/www/Hackothon/assets/templates/p/maxcdn.bootstrapcdn.com/bootstrap/4.0.0/css/bootstrap.min.css	(from https://helperscript.com/dream11v2/matchlist/dream11-match-prediction-cricket.html)
11:34:36	2874/2874	---M-Z	200	added ('OK')	text/css	etag:%22b3a-607e6ecc-51143c0cafefdc46;gz%22	https://helperscript.com/dream11v2/dream11.css	C:/wamp64/www/Hackothon/assets/templates/p/helperscript.com/dream11v2/dream11.css	(from https://helperscript.com/dream11v2/matchlist/dream11-match-prediction-cricket.html)
11:34:37	136063/136063	---MC-	200	added ('OK')	text/javascript	date:Sat,%2024%20Apr%202021%2006:04:35%20GMT	https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js	C:/wamp64/www/Hackothon/assets/templates/p/pagead2.googlesyndication.com/pagead/js/f.txt	(from https://helperscript.com/dream11v2/matchlist/dream11-match-prediction-cricket.html)
11:34:37	23454/23454	---M--	200	added ('OK')	image/png	etag:%225b9e-605192ef-fd7b35e6d6cba508;;;%22	https://helperscript.com/dream11v2/matchlist/img/dream11prediction-logo.png	C:/wamp64/www/Hackothon/assets/templates/p/helperscript.com/dream11v2/matchlist/img/dream11prediction-logo.png	(from https://helperscript.com/dream11v2/matchlist/dream11-match-prediction-cricket.html)
11:34:38	86659/86659	---M-Z	200	added ('OK')	application/javascript	etag:W/%2258d026fb-15283%22	https://code.jquery.com/jquery-3.2.1.min.js	C:/wamp64/www/Hackothon/assets/templates/p/code.jquery.com/jquery-3.2.1.min.js	(from https://helperscript.com/dream11v2/matchlist/dream11-match-prediction-cricket.html)
11:34:39	19188/19188	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03fa9-4af4%22	https://cdnjs.cloudflare.com/ajax/libs/popper.js/1.12.9/umd/popper.min.js	C:/wamp64/www/Hackothon/assets/templates/p/cdnjs.cloudflare.com/ajax/libs/popper.js/1.12.9/umd/popper.min.js	(from https://helperscript.com/dream11v2/matchlist/dream11-match-prediction-cricket.html)
11:34:39	48944/48944	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2025%20Jan%202021%2022:04:04%20GMT	https://maxcdn.bootstrapcdn.com/bootstrap/4.0.0/js/bootstrap.min.js	C:/wamp64/www/Hackothon/assets/templates/p/maxcdn.bootstrapcdn.com/bootstrap/4.0.0/js/bootstrap.min.js	(from https://helperscript.com/dream11v2/matchlist/dream11-match-prediction-cricket.html)
11:34:40	171289/171289	---M-Z	200	added ('OK')	application/x-javascript	etag:%2229d19-6083abb8-47b18a8e2d727fda;gz%22	https://helperscript.com/dream11v2/matchlist/matchList.js?0.138	C:/wamp64/www/Hackothon/assets/templates/p/helperscript.com/dream11v2/matchlist/matchListd794.js	(from https://helperscript.com/dream11v2/matchlist/dream11-match-prediction-cricket.html)
11:34:40	1129/1129	---M-Z	200	added ('OK')	application/x-javascript	etag:%22469-605615af-1b4ea00932f9097a;gz%22	https://helperscript.com/dream11v2/matchlist/dream11-match-prediction-cricket.js?0.021	C:/wamp64/www/Hackothon/assets/templates/p/helperscript.com/dream11v2/matchlist/dream11-match-prediction-cricketa041.js	(from https://helperscript.com/dream11v2/matchlist/dream11-match-prediction-cricket.html)
11:34:41	12144/12144	---M-Z	200	added ('OK')	text/html	etag:%222f70-6083abe5-dc9f6a0a9816cff6;gz%22	https://helperscript.com/dream11v2/matchlist/select-player/dream11-cricket-team-generator.html	C:/wamp64/www/Hackothon/assets/templates/p/helperscript.com/dream11v2/matchlist/select-player/dream11-cricket-team-generator.html	(from https://helperscript.com/dream11v2/matchlist/dream11-match-prediction-cricket.js?0.021)
11:34:42	58319/58319	---M-Z	200	added ('OK')	application/javascript	etag:%225eb04015-e3cf%22	https://cdnjs.cloudflare.com/ajax/libs/underscore.js/1.9.1/underscore.js	C:/wamp64/www/Hackothon/assets/templates/p/cdnjs.cloudflare.com/ajax/libs/underscore.js/1.9.1/underscore.js	(from https://helperscript.com/dream11v2/matchlist/select-player/dream11-cricket-team-generator.html)
11:34:42	66555/66555	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2024%20Apr%202021%2006:04:41%20GMT	https://helperscript.com/dream11v2/matchlist/select-player/matchList.js?0.02	C:/wamp64/www/Hackothon/assets/templates/p/helperscript.com/dream11v2/matchlist/select-player/matchList0d16.js	(from https://helperscript.com/dream11v2/matchlist/select-player/dream11-cricket-team-generator.html)
11:34:43	5072/5072	---M-Z	200	added ('OK')	application/x-javascript	etag:%2213d0-6055ebe1-125ff72093845083;gz%22	https://helperscript.com/dream11v2/matchlist/select-player/dream11-cricket-team-generator.js?0.03	C:/wamp64/www/Hackothon/assets/templates/p/helperscript.com/dream11v2/matchlist/select-player/dream11-cricket-team-generator0574.js	(from https://helperscript.com/dream11v2/matchlist/select-player/dream11-cricket-team-generator.html)
11:34:43	6037/6037	---M-Z	200	added ('OK')	text/html	etag:%221795-6083abf3-aed12beb8b8f66ae;gz%22	https://helperscript.com/dream11v2/matchlist/cricket-team-generator/prediction.html	C:/wamp64/www/Hackothon/assets/templates/p/helperscript.com/dream11v2/matchlist/cricket-team-generator/prediction.html	(from https://helperscript.com/dream11v2/matchlist/select-player/dream11-cricket-team-generator.js?0.03)
11:34:43	12951/12951	---M-Z	200	added ('OK')	application/x-javascript	etag:%223297-6055f6ca-1b1865bbcd0dfb92;gz%22	https://helperscript.com/dream11v2/matchlist/cricket-team-generator/dream11-cricket-generator.js?0.14	C:/wamp64/www/Hackothon/assets/templates/p/helperscript.com/dream11v2/matchlist/cricket-team-generator/dream11-cricket-generator2726.js	(from https://helperscript.com/dream11v2/matchlist/cricket-team-generator/prediction.html)
11:34:44	3888/3888	---M-Z	200	added ('OK')	image/svg+xml	etag:%22f30-605192ef-93d57361401f3fd1;gz%22	https://helperscript.com/dream11v2/matchlist/img/wk.svg	C:/wamp64/www/Hackothon/assets/templates/p/helperscript.com/dream11v2/matchlist/img/wk.svg	(from https://helperscript.com/dream11v2/matchlist/cricket-team-generator/dream11-cricket-generator.js?0.14)
11:34:44	4397/4397	---M-Z	200	added ('OK')	image/svg+xml	etag:%22112d-605192ef-32e6640a16f3b72b;gz%22	https://helperscript.com/dream11v2/matchlist/img/all.svg	C:/wamp64/www/Hackothon/assets/templates/p/helperscript.com/dream11v2/matchlist/img/all.svg	(from https://helperscript.com/dream11v2/matchlist/cricket-team-generator/dream11-cricket-generator.js?0.14)
11:34:45	16874/16874	---M-Z	200	added ('OK')	image/svg+xml	etag:%2241ea-605192ef-a7eebd2a4c755fe1;gz%22	https://helperscript.com/dream11v2/matchlist/img/bwl.svg	C:/wamp64/www/Hackothon/assets/templates/p/helperscript.com/dream11v2/matchlist/img/bwl.svg	(from https://helperscript.com/dream11v2/matchlist/cricket-team-generator/dream11-cricket-generator.js?0.14)
